No,Kode Paket,Kode Provinsi,Kode Kabupaten,Sumber Dana,Kategori,Tahun Anggaran,Evaluasi,Penilaian
1,1168,Sumatera Selatan,Musi Banyu Asin (Kab.),APBD,Pengadaan Barang,2012,14,Buruk
2,1173,Sulawesi Utara,Manado (Kota),APBD,Pengadaan Barang,2012,18,Sangat Buruk
3,1221,Sumatera Selatan,Prabumulih (Kota),APBD,Jasa Lainnya,2012,8,Baik
4,1270,Kalimantan Selatan,Barito Kuala (Kab.),APBN,Jasa Konsultansi,2012,9,Baik
5,1329,Sulawesi Utara,Bitung (Kota),APBD,Pekerjaan Konstruksi,2012,14,Buruk
6,1343,Sumatera Selatan,Ogan Komering Ulu Selatan (Kab.),APBD,Pekerjaan Konstruksi,2012,15,Sangat Buruk
7,1355,Kepulauan Riau,Natuna (Kab.),APBD,Pengadaan Barang,2012,11,Buruk
8,1357,Sumatera Selatan,Ogan Ilir (Kab.),APBD,Pengadaan Barang,2012,16,Sangat Buruk
9,1387,Sulawesi Utara,Manado (Kota),APBN,Pekerjaan Konstruksi,2012,15,Sangat Buruk
10,1402,Sumatera Selatan,Palembang (Kota),APBN,Jasa Konsultansi,2012,16,Sangat Buruk
11,1406,Sulawesi Utara,Minahasa (Kab.),APBD,Pekerjaan Konstruksi,2012,18,Sangat Buruk
12,1436,Sulawesi Utara,Minahasa Selatan (Kab.),BUMD,Jasa Konsultansi,2012,14,Buruk
13,2168,Sumatera Selatan,Musi Banyu Asin (Kab.),APBD,Jasa Konsultansi,2012,14,Buruk
14,2195,Sumatera Selatan,Lubuk Linggau (Kota),APBN,Jasa Lainnya,2012,11,Buruk
15,2221,Sumatera Selatan,Prabumulih (Kota),APBD,Jasa Lainnya,2012,10,Baik
16,2270,Kalimantan Selatan,Barito Kuala (Kab.),APBD,Pekerjaan Konstruksi,2012,18,Sangat Buruk
17,2284,Sulawesi Utara,Minahasa Tenggara (Kab.),APBN,Pekerjaan Konstruksi,2012,14,Buruk
18,2329,Sulawesi Utara,Bitung (Kota),APBN,Pekerjaan Konstruksi,2012,13,Buruk
19,2343,Sumatera Selatan,Ogan Komering Ulu Selatan (Kab.),APBD,Pekerjaan Konstruksi,2012,17,Sangat Buruk
20,2344,Sulawesi Utara,Bolaang Mongondow Utara (Kab.),APBD,Pekerjaan Konstruksi,2012,17,Sangat Buruk
21,2357,Sumatera Selatan,Ogan Ilir (Kab.),APBD,Pengadaan Barang,2012,14,Buruk
22,2387,Sulawesi Utara,Manado (Kota),APBN,Pengadaan Barang,2012,13,Buruk
23,2406,Sulawesi Utara,Minahasa (Kab.),APBN,Pekerjaan Konstruksi,2012,17,Sangat Buruk
24,2436,Sulawesi Utara,Minahasa Selatan (Kab.),BUMD,Jasa Konsultansi,2012,14,Buruk
25,2495,Kepulauan Riau,Bintan (Kab.),APBN,Pengadaan Barang,2012,19,Sangat Buruk
26,3173,Sulawesi Utara,Manado (Kota),APBN,Pengadaan Barang,2012,16,Sangat Buruk
27,3180,Sulawesi Utara,Kotamobagu (Kota),APBN,Pekerjaan Konstruksi,2012,18,Sangat Buruk
28,3221,Sumatera Selatan,Prabumulih (Kota),APBD,Jasa Konsultansi,2012,14,Buruk
29,3270,Kalimantan Selatan,Barito Kuala (Kab.),APBD,Pekerjaan Konstruksi,2012,16,Sangat Buruk
30,3284,Sulawesi Utara,Minahasa Tenggara (Kab.),APBN,Pekerjaan Konstruksi,2012,14,Buruk
31,3329,Sulawesi Utara,Bitung (Kota),APBN,Pekerjaan Konstruksi,2012,12,Buruk
32,3343,Sumatera Selatan,Ogan Komering Ulu Selatan (Kab.),APBD,Pekerjaan Konstruksi,2012,18,Sangat Buruk
33,3344,Sulawesi Utara,Bolaang Mongondow Utara (Kab.),APBD,Pekerjaan Konstruksi,2012,18,Sangat Buruk
34,3349,Sulawesi Utara,Manado (Kota),APBD,Pekerjaan Konstruksi,2012,19,Sangat Buruk
35,3402,Sumatera Selatan,Palembang (Kota),APBN,Pengadaan Barang,2012,10,Baik
36,3434,Sumatera Selatan,Lahat (Kab.),APBD,Pengadaan Barang,2012,15,Sangat Buruk
37,3436,Sulawesi Utara,Minahasa Selatan (Kab.),BUMD,Jasa Konsultansi,2012,14,Buruk
38,3465,Sumatera Selatan,Palembang (Kota),APBN,Pekerjaan Konstruksi,2012,15,Sangat Buruk
39,4180,Sulawesi Utara,Kotamobagu (Kota),APBN,Pekerjaan Konstruksi,2012,19,Sangat Buruk
40,4221,Sumatera Selatan,Prabumulih (Kota),APBD,Pengadaan Barang,2012,9,Baik
41,4270,Kalimantan Selatan,Barito Kuala (Kab.),APBD,Pekerjaan Konstruksi,2012,16,Sangat Buruk
42,4282,Kalimantan Selatan,Hulu Sungai Selatan (Kab.),APBD,Pekerjaan Konstruksi,2012,9,Baik
43,4294,Sulawesi Utara,Kepulauan Siau Tagulandang Biaro (Kab.),APBD,Jasa Konsultansi,2012,14,Buruk
44,4317,Kalimantan Selatan,Tanah Bumbu (Kab.),APBD,Pekerjaan Konstruksi,2012,16,Sangat Buruk
45,4329,Sulawesi Utara,Bitung (Kota),APBD,Pekerjaan Konstruksi,2012,19,Sangat Buruk
